name	x	y	z	head	int	conf
s82	756118.9583	3006712.927	27.8	52.2	2	95
s72M	755421.6418	3006387.429	-25.7	45.4	2	95
s84M	756198.566	3005502.227	34.7	43.8	2	95
s78S	755326.1984	3004911.803	37.1	43.4	2	95
s85M	755827.0639	3006204.086	-20.3	44.4	2	95
s63S	756384.3173	3006892.044	47.9	57.7	2	95
s74M	754781.2298	3007513.315	-4.5	46.8	2	95
s80M	755084.6629	3004954.748	-8	43.8	2	95
s76M	754794.1413	3006278.973	-46.4	45.8	2	95
s68S	755869.0083	3005651.609	-18	43.9	2	95
s65M	756487.1439	3006188.843	44.4	56.6	2	95
s83	755802.6406	3004055.767	-26	41.8	2	95
s77M	756016.1317	3004483.912	35.1	42.7	2	95
s86S	756304.7096	3004895.218	23.2	43.4	2	95
gw5S	757867.0861	3007417.77	79	82	2	95
gw7	757678.5777	3007490.074	79	86	2	95
gw3S	757195.6864	3007335.136	75	68.4	2	95
s70M	756109.0074	3007545.491	20.2	56.8	2	95
s71S	756447.3401	3007482.468	56.9	58.01	2	95
s67M	757306.4397	3006716.244	42	68.9	2	95
s21	756901.7673	3006951.75	65	58.5	2	95
s73S	755349.4173	3007572.027	29	48.2	2	95
s6	755939.841	3007492.419	30	54.9	2	95
s64M	756254.9548	3006377.911	33	54.9	2	95
IUS3C	756107.7899	3007781.44	46	59.2	2	95
IUS1	756624.6834	3007854.585	64	76.2	2	95
s11	756755.8199	3003833.782	0	41.8	2	95
s75M	754574.6452	3007038.171	-8	46.2	2	95
s79M	755094.0093	3005356.279	41.9	43.8	2	95
s81M	755976.3279	3007071.162	17.1	51.3	2	95
gw1S	757150.5413	3007767.729	86	88.5	2	95
gw2M	757823.8897	3007727.925	90	90.4	2	95
