"name"	"date"	"time"	"Q"
"Well G"	1/1/1964	0:0:0	0.0
"Well G"	6/1/1965	0:0:0	-134750.0
"Well G"	9/1/1965	0:0:0	0.0
"Well G"	6/1/1966	0:0:0	-134750.0
"Well G"	9/1/1966	0:0:0	0.0
"Well G"	6/1/1967	0:0:0	-134750.0
"Well G"	9/1/1967	0:0:0	0.0
"Well G"	6/1/1968	0:0:0	-134750.0
"Well G"	9/1/1968	0:0:0	0.0
"Well G"	6/1/1969	0:0:0	-134750.0
"Well G"	9/1/1969	0:0:0	0.0
"Well G"	6/1/1970	0:0:0	-134750.0
"Well G"	9/1/1970	0:0:0	0.0
"Well G"	6/1/1971	0:0:0	-134750.0
"Well G"	9/1/1971	0:0:0	0.0
"Well G"	6/1/1972	0:0:0	-134750.0
"Well G"	9/1/1972	0:0:0	0.0
"Well G"	6/1/1973	0:0:0	-134750.0
"Well G"	9/1/1973	0:0:0	0.0
"Well G"	6/1/1974	0:0:0	-134750.0
"Well G"	9/1/1974	0:0:0	0.0
"Well G"	6/1/1975	0:0:0	-134750.0
"Well G"	9/1/1975	0:0:0	0.0
"Well G"	6/1/1976	0:0:0	-134750.0
"Well G"	9/1/1976	0:0:0	0.0
"Well G"	6/1/1977	0:0:0	-134750.0
"Well G"	9/1/1977	0:0:0	0.0
"Well G"	6/1/1978	0:0:0	-134750.0
"Well G"	9/1/1978	0:0:0	0.0
"Well G"	6/1/1979	0:0:0	0.0
"Well H"	1/1/1964	0:0:0	0.0
"Well H"	6/1/1968	0:0:0	-77000.0
"Well H"	9/1/1968	0:0:0	0.0
"Well H"	6/1/1969	0:0:0	-77000.0
"Well H"	9/1/1969	0:0:0	0.0
"Well H"	6/1/1970	0:0:0	-77000.0
"Well H"	9/1/1970	0:0:0	0.0
"Well H"	6/1/1971	0:0:0	-77000.0
"Well H"	9/1/1971	0:0:0	0.0
"Well H"	6/1/1972	0:0:0	-77000.0
"Well H"	9/1/1972	0:0:0	0.0
"Well H"	6/1/1973	0:0:0	-77000.0
"Well H"	9/1/1973	0:0:0	0.0
"Well H"	6/1/1974	0:0:0	-77000.0
"Well H"	9/1/1974	0:0:0	0.0
"Well H"	6/1/1975	0:0:0	-77000.0
"Well H"	9/1/1975	0:0:0	0.0
"Well H"	6/1/1976	0:0:0	-77000.0
"Well H"	9/1/1976	0:0:0	0.0
"Well H"	6/1/1977	0:0:0	-77000.0
"Well H"	9/1/1977	0:0:0	0.0
"Well H"	6/1/1978	0:0:0	-77000.0
"Well H"	9/1/1978	0:0:0	0.0
"Well H"	6/1/1979	0:0:0	0.0
